"region","cohort","median","iqr"
"northern africa and western asia",1955,4.46480919020853,2.10581263631741
"northern africa and western asia",1956,4.30737326713747,2.02356048680844
"northern africa and western asia",1957,4.14433007430191,2.15411817555424
"northern africa and western asia",1958,3.97923609298656,2.116351208565
"northern africa and western asia",1959,3.83572893446119,1.92836601106244
"northern africa and western asia",1960,3.79577398938537,1.70830191142954
"northern africa and western asia",1961,3.7451009951738,1.52646728433619
"northern africa and western asia",1962,3.68740447207486,1.40748258695573
"northern africa and western asia",1963,3.6293687861417,1.36926898854213
"northern africa and western asia",1964,3.56484938195801,1.39918313748881
"northern africa and western asia",1965,3.44879406191603,1.41777523455513
"northern africa and western asia",1966,3.28552880352577,1.44553918725475
"northern africa and western asia",1967,3.11807594244814,1.46463761235662
"northern africa and western asia",1968,3.02098444322996,1.47339690491811
"northern africa and western asia",1969,2.97881425271082,1.45575585246923
"northern africa and western asia",1970,2.90879877740247,1.43888060266299
"northern africa and western asia",1971,2.8416149962355,1.41001781614269
"northern africa and western asia",1972,2.76702813739036,1.36972063694272
"northern africa and western asia",1973,2.71096943497818,1.35048791925521
"northern africa and western asia",1974,2.65786700320144,1.27565494210801
"northern africa and western asia",1975,2.60774099440265,1.21268706626842
"northern africa and western asia",1976,2.56058289387518,1.20330211856187
"northern africa and western asia",1977,2.51995392493941,1.1669294398152
"northern africa and western asia",1978,2.47896012224131,1.12653230023893
"northern africa and western asia",1979,2.40780766304593,1.08774971340623
"northern africa and western asia",1980,2.33717664716807,1.03290837047232
"northern africa and western asia",1981,2.32285281321026,0.989167889712676
"northern africa and western asia",1982,2.30769531761181,0.953934722670787
"northern africa and western asia",1983,2.29365967511373,0.966398098029691
"northern africa and western asia",1984,2.28324855306198,1.01771596383261
"northern africa and western asia",1985,2.26958652503991,0.973092897642134
"northern africa and western asia",1986,2.25794028633119,0.925436682320444
"northern africa and western asia",1987,2.23661216250174,0.94080412665715
"northern africa and western asia",1988,2.21984670927039,0.912119865626525
"northern africa and western asia",1989,2.1987900774763,0.866959083923241
"northern africa and western asia",1990,2.18201081814794,0.821739375237886
"northern africa and western asia",1991,2.16057344898669,0.764484069747136
"northern africa and western asia",1992,2.14332052496288,0.743716625028009
"northern africa and western asia",1993,2.1159541270213,0.706124503879397
"northern africa and western asia",1994,2.07574286322258,0.673915550742097
"northern africa and western asia",1995,2.04378113722496,0.651674093282802
"northern africa and western asia",1996,2.01381074452074,0.622757531258014
"northern africa and western asia",1997,1.98540812287314,0.603903820233588
"northern africa and western asia",1998,1.96345160278897,0.590069754966335
"northern africa and western asia",1999,1.95312086072144,0.575844654105083
"oceania (excluding australia and new zealand)",1950,4.38919880021951,1.45599205028359
"oceania (excluding australia and new zealand)",1951,4.36548690666374,1.50174148255509
"oceania (excluding australia and new zealand)",1952,4.32710456027943,1.51599099139117
"oceania (excluding australia and new zealand)",1953,4.28771563034387,1.52482220828518
"oceania (excluding australia and new zealand)",1954,4.2472834981476,1.529216853361
"oceania (excluding australia and new zealand)",1955,4.21735802105264,1.51763471358469
"oceania (excluding australia and new zealand)",1956,4.17378258384068,1.48636253346572
"oceania (excluding australia and new zealand)",1957,4.12927490346317,1.46009941791203
"oceania (excluding australia and new zealand)",1958,4.08476804396317,1.41782704149696
"oceania (excluding australia and new zealand)",1959,4.05168099833565,1.3818182603211
"oceania (excluding australia and new zealand)",1960,4.0082661534772,1.34045958554768
"oceania (excluding australia and new zealand)",1961,3.96610437008984,1.30177955570871
"oceania (excluding australia and new zealand)",1962,3.92557219830733,1.2717791063975
"oceania (excluding australia and new zealand)",1963,3.89744484001301,1.26195221947133
"oceania (excluding australia and new zealand)",1964,3.86043819697924,1.24331717185163
"oceania (excluding australia and new zealand)",1965,3.8356298720988,1.23581771909623
"oceania (excluding australia and new zealand)",1966,3.80234903957976,1.22298120593811
"oceania (excluding australia and new zealand)",1967,3.77090318177315,1.21765700045053
"oceania (excluding australia and new zealand)",1968,3.75104258695498,1.21416219587551
"oceania (excluding australia and new zealand)",1969,3.72174543072818,1.21290391929732
"oceania (excluding australia and new zealand)",1970,3.70284718206016,1.20158686825857
"oceania (excluding australia and new zealand)",1971,3.67342400034443,1.18018492466231
"oceania (excluding australia and new zealand)",1972,3.65333899740139,1.16766358678382
"oceania (excluding australia and new zealand)",1973,3.63255414625343,1.1628514075483
"oceania (excluding australia and new zealand)",1974,3.59088981904662,1.1515447893784
"oceania (excluding australia and new zealand)",1975,3.55185028359533,1.15597160145477
"oceania (excluding australia and new zealand)",1976,3.5106606456694,1.14764996698119
"oceania (excluding australia and new zealand)",1977,3.46635755084178,1.14816999343146
"oceania (excluding australia and new zealand)",1978,3.44037227622232,1.12717016742259
"oceania (excluding australia and new zealand)",1979,3.41929653994195,1.11819190032914
"oceania (excluding australia and new zealand)",1980,3.40779661852255,1.10661863530975
"oceania (excluding australia and new zealand)",1981,3.39203676127625,1.09335775061712
"oceania (excluding australia and new zealand)",1982,3.35962229405748,1.07737705542407
"oceania (excluding australia and new zealand)",1983,3.31675068438831,1.06011771207579
"oceania (excluding australia and new zealand)",1984,3.28373925759485,1.03710319572722
"oceania (excluding australia and new zealand)",1985,3.25079843374116,1.01983889023656
"oceania (excluding australia and new zealand)",1986,3.20833211242403,1.00181071097463
