"region","cohort","median","iqr","mean","sd"
"central and southern asia","1969",0.855075195832497,0.0357082808468794,0.865340773007904,0.0329842730345062
"central and southern asia","1970",0.857366898341536,0.0345074605856203,0.868759599902833,0.0324829708998472
"central and southern asia","1971",0.860841832990535,0.0329716597527959,0.871928875223027,0.032041497840447
"central and southern asia","1972",0.864480828177976,0.0291034541860343,0.875133861529496,0.0318336377255408
"central and southern asia","1973",0.869585908078136,0.0268833007266713,0.87824825151903,0.0308672847891141
"central and southern asia","1974",0.873275510529314,0.0264894866228127,0.881743515959362,0.0307132455931729
"central and southern asia","1975",0.877955792959039,0.0258195724902097,0.884876243306253,0.0305566962517474
"central and southern asia","1976",0.882653525891955,0.0259464424239958,0.887805299838973,0.0300167020497043
"central and southern asia","1977",0.886339328819242,0.0272469170727039,0.890774972424929,0.0298450276802859
"central and southern asia","1978",0.891517719610876,0.0238701265902362,0.893857431435494,0.0296115372634238
"central and southern asia","1979",0.894831187913322,0.024044745728831,0.896579610113127,0.0291872531759182
"central and southern asia","1980",0.898044923810425,0.0231212317180659,0.899768207842166,0.0287590693550569
"central and southern asia","1981",0.899460329209863,0.0214988935720181,0.902011702740164,0.0283842816697156
"central and southern asia","1982",0.902457286839826,0.0225230738376777,0.90381791008819,0.0283352269192839
"central and southern asia","1983",0.903620171223687,0.0222340704580246,0.906073319606808,0.0279723844513828
"central and southern asia","1984",0.906143330182372,0.0201558611146792,0.908203950421646,0.0273441711936465
"central and southern asia","1985",0.907614746213025,0.020089502451261,0.91011605118224,0.0268995451058464
"central and southern asia","1986",0.910193375676101,0.0216902477673211,0.911574417086583,0.0262962141566871
"central and southern asia","1987",0.911749138705843,0.0211547054079391,0.913417153315805,0.0260637959765813
"central and southern asia","1988",0.913401278978781,0.0207489616842549,0.914555871733488,0.0254326801394805
"central and southern asia","1989",0.915095969253692,0.0180182772568844,0.915732175235615,0.025069370307888
"central and southern asia","1990",0.915303288422986,0.0171624083338892,0.916853042300988,0.0246093933357154
"central and southern asia","1991",0.916480112290991,0.01715094879236,0.917710556090159,0.023686865099768
"central and southern asia","1992",0.917442368494382,0.0161992383858419,0.918508292301007,0.0241141414585825
"central and southern asia","1993",0.919528753833658,0.0155709619536917,0.919415514340302,0.0234185182834118
"central and southern asia","1994",0.918113663236605,0.016847051364007,0.91989765856448,0.02301321436815
"central and southern asia","1995",0.918611897083317,0.0162366337684446,0.91940028539363,0.0228813652423871
"central and southern asia","1996",0.920502758890275,0.0146162006653163,0.920580993638976,0.0222579431541378
"central and southern asia","1997",0.918224620153075,0.0148636468125167,0.920563485475231,0.0217357148347431
"central and southern asia","1998",0.919778482196315,0.0135441020702255,0.920961581292324,0.0215093834140827
"central and southern asia","1999",0.920564784920695,0.0140312263951495,0.921243011195155,0.0214940934442296
"eastern and south-eastern asia","1950",0.874124747585517,0.114768292915605,0.856862710291755,0.0853225792764775
"eastern and south-eastern asia","1951",0.879366693758883,0.11240208055406,0.859315382787831,0.0835551535780016
"eastern and south-eastern asia","1952",0.885576609993237,0.111837460167409,0.860908085416001,0.0823234468773257
"eastern and south-eastern asia","1953",0.891289972695314,0.110677380107721,0.862747345581045,0.080971725426481
"eastern and south-eastern asia","1954",0.89368639630641,0.109601857485772,0.865011197616047,0.0787792289646228
"eastern and south-eastern asia","1955",0.893634793247,0.10538611038529,0.866701731008853,0.076554636470163
"eastern and south-eastern asia","1956",0.895609033482164,0.102345673107784,0.869134142975133,0.0741397385319492
"eastern and south-eastern asia","1957",0.897237805051145,0.101861911206042,0.871922207256954,0.0713307984831205
"eastern and south-eastern asia","1958",0.89611971674646,0.0959504569392284,0.873637856313935,0.068431759748783
"eastern and south-eastern asia","1959",0.896866650317136,0.0953607649312153,0.876280369858263,0.0654212260156112
"eastern and south-eastern asia","1960",0.894672120686174,0.0926996009019747,0.878769482610237,0.0619424810586122
"eastern and south-eastern asia","1961",0.894362241815025,0.0899788352140929,0.881060586665652,0.0590859935298549
"eastern and south-eastern asia","1962",0.89103258863373,0.0884407069386857,0.883752691385321,0.0562056008030554
"eastern and south-eastern asia","1963",0.887123709577717,0.0848636304230213,0.885240616867568,0.0530945673279597
"eastern and south-eastern asia","1964",0.885505395720824,0.0799843584602613,0.88798916958628,0.0503346439115055
"eastern and south-eastern asia","1965",0.887379161447736,0.0778489852466193,0.890013803954371,0.0484294995889866
"eastern and south-eastern asia","1966",0.88769432167163,0.074522809136737,0.891457262576177,0.0463273035933038
"eastern and south-eastern asia","1967",0.887822825096222,0.0722511934335038,0.89336043760653,0.0445205067391166
"eastern and south-eastern asia","1968",0.891267681591443,0.0670923896531151,0.895310801100495,0.0426706908943748
"eastern and south-eastern asia","1969",0.891117423355392,0.064156530295654,0.897283182160592,0.0408916069956924
"eastern and south-eastern asia","1970",0.894345657198385,0.0612520845485294,0.899130464865009,0.0387352303525485
"eastern and south-eastern asia","1971",0.893967274225355,0.0606934959933185,0.901407356385542,0.0374376736565518
