"region","age","cohort","median","iqr"
"australia_new zealand",19,1990,0.00106484159772221,0.000287595294555089
"australia_new zealand",20,1990,0.00138980761730822,0.000369663641522848
"australia_new zealand",21,1990,0.0017431600130931,0.000449068309699072
"australia_new zealand",22,1990,0.0021235891395657,0.000525560033214049
"australia_new zealand",23,1990,0.00253009415596568,0.000597782283554353
"australia_new zealand",24,1990,0.00296199181989385,0.000665964531384987
"australia_new zealand",25,1990,0.00341923116508508,0.000730915254157253
"australia_new zealand",26,1990,0.00388785055492144,0.000792622792903558
"australia_new zealand",27,1990,0.00437141805518871,0.000854392343471716
"australia_new zealand",28,1990,0.00487472065552885,0.000919936475184329
"australia_new zealand",29,1990,0.00539985006731422,0.000989895688339175
"australia_new zealand",30,1990,0.00594783366135937,0.00106349646553338
"australia_new zealand",31,1990,0.00647307605079061,0.00113781656352228
"australia_new zealand",32,1990,0.00697536916159913,0.00121002527461621
"australia_new zealand",33,1990,0.00745614268307656,0.0012784553736027
"australia_new zealand",34,1990,0.00791780349741452,0.00134276853860615
"australia_new zealand",35,1990,0.00836379139660403,0.00140357284942388
"australia_new zealand",36,1990,0.0087900593882722,0.00146312472113311
"australia_new zealand",37,1990,0.00919928381846228,0.00152217026652159
"australia_new zealand",38,1990,0.00959358113278131,0.00158109069665352
"australia_new zealand",39,1990,0.00997486015512231,0.00163996859572353
"australia_new zealand",40,1990,0.0103449921703561,0.00169880893719369
"australia_new zealand",41,1990,0.0107264120319388,0.00175945767594828
"australia_new zealand",42,1990,0.0111215789949864,0.00182232233126808
"australia_new zealand",43,1990,0.0115323135910674,0.00188770847920932
"australia_new zealand",44,1990,0.0119598267066298,0.001955709822941
"australia_new zealand",45,1990,0.0124046913860918,0.00202622925719902
"australia_new zealand",46,1990,0.0128706507769974,0.00210050248479968
"australia_new zealand",47,1990,0.0133619976663119,0.00217670705086402
"australia_new zealand",48,1990,0.0138785119241368,0.00225457655306627
"australia_new zealand",49,1990,0.0144198087178466,0.00233378042373113
"australia_new zealand",50,1990,0.014985326895346,0.00241391405187426
"australia_new zealand",51,1990,0.0155743341153095,0.00249450264670168
"australia_new zealand",52,1990,0.0161864077949176,0.0025752759100003
"australia_new zealand",53,1990,0.0168214155530957,0.00265600295775607
"australia_new zealand",54,1990,0.0174794914199042,0.0027364813788738
"australia_new zealand",55,1990,0.018160988371128,0.00281651852406685
"australia_new zealand",56,1990,0.018866452415833,0.00289592871600212
"australia_new zealand",57,1990,0.0195971377331674,0.0029746567348592
"australia_new zealand",58,1990,0.0203545719055015,0.00305282778767821
"australia_new zealand",59,1990,0.0211405722568904,0.00313072405808566
"australia_new zealand",60,1990,0.0219572115433937,0.00320877898526737
"australia_new zealand",61,1990,0.022806796857809,0.00328757893817158
"australia_new zealand",62,1990,0.0236925068655555,0.00336805715819628
"australia_new zealand",63,1990,0.0246175984001408,0.00345111414083238
"australia_new zealand",64,1990,0.0255853477417601,0.00353760762059017
"australia_new zealand",65,1990,0.0265990116790219,0.00362833073220395
"australia_new zealand",66,1990,0.0276617927869648,0.00372398927224924
"australia_new zealand",67,1990,0.0287776652430459,0.00382541419849258
"australia_new zealand",68,1990,0.0299505631427637,0.00393330980506289
"australia_new zealand",69,1990,0.0311843670460955,0.00404830166154875
"australia_new zealand",70,1990,0.0324828889794466,0.00417096522974372
"australia_new zealand",71,1990,0.0338498776228271,0.00430187062098752
"australia_new zealand",72,1990,0.035290534693269,0.0044421677776362
"australia_new zealand",73,1990,0.0368100892511082,0.0045929380462395
"australia_new zealand",74,1990,0.0384137280205326,0.00475510777169632
"australia_new zealand",75,1990,0.0401065288424295,0.00492939657884243
"australia_new zealand",76,1990,0.0418934285180131,0.00511628058309146
"australia_new zealand",77,1990,0.0437819286487164,0.00531706099068048
"australia_new zealand",78,1990,0.0457798274650651,0.00553308364607449
"australia_new zealand",79,1990,0.0478951046053288,0.00576576700864086
"australia_new zealand",80,1990,0.0501357788580823,0.00601658381908907
"australia_new zealand",81,1990,0.0525098441725288,0.00628710166908332
"australia_new zealand",82,1990,0.0550303959266694,0.00658066197740527
"australia_new zealand",83,1990,0.0577115266103734,0.00690061918240793
"australia_new zealand",84,1990,0.0605681050989311,0.0072502400028344
"australia_new zealand",85,1990,0.0636155157100233,0.00763260829685976
"australia_new zealand",86,1990,0.0668695545781637,0.00805059927451555
"australia_new zealand",87,1990,0.0703565982633672,0.00851054227075998
"australia_new zealand",88,1990,0.0741051265222002,0.00901876232420953
"australia_new zealand",89,1990,0.0781450104313358,0.00958150634030788
"australia_new zealand",90,1990,0.0825067641436789,0.0102048073049363
"australia_new zealand",91,1990,0.0872210704057236,0.0108945252978644
"australia_new zealand",92,1990,0.0923502804149477,0.0116651815671096
"australia_new zealand",93,1990,0.0979651401693819,0.0125310500569088
"australia_new zealand",94,1990,0.104143191009431,0.0135058471810189
"australia_new zealand",95,1990,0.110966885163451,0.0146023550109402
"australia_new zealand",96,1990,0.11852282858424,0.0158324915064695
"australia_new zealand",97,1990,0.126958664524508,0.0172251983995335
"australia_new zealand",98,1990,0.136436190046256,0.0188072216849793
"australia_new zealand",99,1990,0.147126070042841,0.0206020721791027
"australia_new zealand",100,1990,0.159202382469656,0.0226286784597967
"australia_new zealand",15,1991,0.00012195113284675,3.98675126930783e-05
"australia_new zealand",16,1991,0.000289311745527005,8.90354140851706e-05
"australia_new zealand",17,1991,0.00049603795275199,0.000146205822001505
"australia_new zealand",18,1991,0.000739215914390577,0.000211256478639591
"australia_new zealand",19,1991,0.00101567056604384,0.000283795737021166
"australia_new zealand",20,1991,0.00132235726290757,0.000363287748878193
"australia_new zealand",21,1991,0.00165707109201398,0.000439906146828974
"australia_new zealand",22,1991,0.00201894400533601,0.000512523825887314
"australia_new zealand",23,1991,0.00240704624867143,0.000581215501301955
"australia_new zealand",24,1991,0.00282107854555102,0.00064660571931563
"australia_new zealand",25,1991,0.00326135213242816,0.000709957579725312
"australia_new zealand",26,1991,0.00371540469889959,0.000772363160696784
"australia_new zealand",27,1991,0.0041876186940745,0.00083782691200969
"australia_new zealand",28,1991,0.00467999893560966,0.000907254300130148
"australia_new zealand",29,1991,0.00519360449888444,0.000980228115378453
"australia_new zealand",30,1991,0.00572858053549396,0.00105506170089086
"australia_new zealand",31,1991,0.00624024189047088,0.00112843804258239
"australia_new zealand",32,1991,0.00672930870548385,0.00119825810278735
"australia_new zealand",33,1991,0.00719738453584591,0.00126373657767613
"australia_new zealand",34,1991,0.00764722078513068,0.00132513058601899
"australia_new zealand",35,1991,0.00808222653942983,0.00138326632654969
"australia_new zealand",36,1991,0.0084978330689213,0.00144037205514144
"australia_new zealand",37,1991,0.00889638514930562,0.00149703092717436
"australia_new zealand",38,1991,0.00927996722030116,0.00155347365851162
"australia_new zealand",39,1991,0.0096505674050785,0.00160980050857472
"australia_new zealand",40,1991,0.0100102347873657,0.0016661346402185
"australia_new zealand",41,1991,0.0103810950259837,0.00172443092299556
"australia_new zealand",42,1991,0.0107655358948527,0.00178512221091819
"australia_new zealand",43,1991,0.0111653278352486,0.00184843392431946
"australia_new zealand",44,1991,0.0115815873703658,0.00191440156991473
"australia_new zealand",45,1991,0.012014775836253,0.00198287104738074
"australia_new zealand",46,1991,0.0124684184916503,0.00205506891920641
"australia_new zealand",47,1991,0.0129468628363444,0.00212916005916475
"australia_new zealand",48,1991,0.0134499466657699,0.00220492192457436
"australia_new zealand",49,1991,0.0139773241381494,0.00228205217692505
"australia_new zealand",50,1991,0.0145284729535716,0.00236017430637423
"australia_new zealand",51,1991,0.0151026882817448,0.0024388339259433
"australia_new zealand",52,1991,0.0156995382722522,0.00251776181483195
"australia_new zealand",53,1991,0.0163188507095612,0.00259671114463401
"australia_new zealand",54,1991,0.0169606940511351,0.00267544692853926
