"region","cohort","ex","tfr"
"eastern and south-eastern asia",1997,80.9600133240796,1.90253208053691
"eastern and south-eastern asia",1998,81.2221177632652,1.88737542013423
"eastern and south-eastern asia",1999,81.3573167672061,1.87271514362416
"northern africa and western asia",1950,54.119975815356,5.60815898
"northern africa and western asia",1951,55.0709946622801,5.51133251
"northern africa and western asia",1952,55.981766391579,5.37709904563758
"northern africa and western asia",1953,56.6441990339547,5.2493134
"northern africa and western asia",1954,57.1929345585481,5.15099851
"northern africa and western asia",1955,57.7637802748407,5.0460764
"northern africa and western asia",1956,58.3568311067001,4.92443427
"northern africa and western asia",1957,58.9701522246938,4.79437828
"northern africa and western asia",1958,59.601564164933,4.66220135
"northern africa and western asia",1959,60.2491025765795,4.54761919194631
"northern africa and western asia",1960,60.9109866188752,4.420692684
"northern africa and western asia",1961,61.5850055476295,4.272285319
"northern africa and western asia",1962,62.266251782891,4.1334414
"northern africa and western asia",1963,62.9490387967615,4.00823035
"northern africa and western asia",1964,63.6277020581049,3.88805736
"northern africa and western asia",1965,64.296784254737,3.77341328
"northern africa and western asia",1966,64.6410181005527,3.61987930201342
"northern africa and western asia",1967,64.8413468072292,3.47481281208054
"northern africa and western asia",1968,65.011091223632,3.34778053959731
"northern africa and western asia",1969,65.7509859635528,3.23786332080537
"northern africa and western asia",1970,66.5174217297786,3.14414199194631
"northern africa and western asia",1971,67.4908414055379,3.08897425503356
"northern africa and western asia",1972,68.5122809650654,3.00148776510067
"northern africa and western asia",1973,69.2796029756217,2.94841064161074
"northern africa and western asia",1974,70.305443165724,2.90510730067114
"northern africa and western asia",1975,71.2925920720319,2.87021902416107
"northern africa and western asia",1976,72.2345076655203,2.83952411
"northern africa and western asia",1977,73.0197128986614,2.78097359
"northern africa and western asia",1978,73.2149893786142,2.650900343
"northern africa and western asia",1979,73.4185263139283,2.521412011
"northern africa and western asia",1980,73.6286117189754,2.48541230604027
"northern africa and western asia",1981,74.1845371491054,2.46463690604027
"northern africa and western asia",1982,74.7283728854137,2.44647020134228
"northern africa and western asia",1983,74.8927767351876,2.42994701610738
