"country","un_sdg_groups","geographic_regions","un_sdg_subregions"
"united arab emirates","northern africa and western asia","asia","western asia"
"yemen","northern africa and western asia","asia","western asia"
"kazakhstan","central and southern asia","asia","central asia"
"kyrgyzstan","central and southern asia","asia","central asia"
"tajikistan","central and southern asia","asia","central asia"
"turkmenistan","central and southern asia","asia","central asia"
"uzbekistan","central and southern asia","asia","central asia"
"afghanistan","central and southern asia","asia","southern asia"
"bangladesh","central and southern asia","asia","southern asia"
"bhutan","central and southern asia","asia","southern asia"
"india","central and southern asia","asia","southern asia"
"iran (islamic republic of)","central and southern asia","asia","southern asia"
"maldives","central and southern asia","asia","southern asia"
"nepal","central and southern asia","asia","southern asia"
"pakistan","central and southern asia","asia","southern asia"
"sri lanka","central and southern asia","asia","southern asia"
"china","eastern and south-eastern asia","asia","eastern asia"
"china, hong kong sar","eastern and south-eastern asia","asia","eastern asia"
"china, macao sar","eastern and south-eastern asia","asia","eastern asia"
"china, taiwan province of china","eastern and south-eastern asia","asia","eastern asia"
"dem people's republic of korea","eastern and south-eastern asia","asia","eastern asia"
"japan","eastern and south-eastern asia","asia","eastern asia"
"mongolia","eastern and south-eastern asia","asia","eastern asia"
"republic of korea","eastern and south-eastern asia","asia","eastern asia"
"brunei darussalam","eastern and south-eastern asia","asia","south-eastern asia"
"cambodia","eastern and south-eastern asia","asia","south-eastern asia"
"indonesia","eastern and south-eastern asia","asia","south-eastern asia"
"lao people's democratic republic","eastern and south-eastern asia","asia","south-eastern asia"
"malaysia","eastern and south-eastern asia","asia","south-eastern asia"
"myanmar","eastern and south-eastern asia","asia","south-eastern asia"
"philippines","eastern and south-eastern asia","asia","south-eastern asia"
"singapore","eastern and south-eastern asia","asia","south-eastern asia"
"thailand","eastern and south-eastern asia","asia","south-eastern asia"
"timor-leste","eastern and south-eastern asia","asia","south-eastern asia"
"viet nam","eastern and south-eastern asia","asia","south-eastern asia"
"anguilla","latin america and the caribbean","latin america and the caribbean","caribbean"
"antigua and barbuda","latin america and the caribbean","latin america and the caribbean","caribbean"
"aruba","latin america and the caribbean","latin america and the caribbean","caribbean"
"bahamas","latin america and the caribbean","latin america and the caribbean","caribbean"
"barbados","latin america and the caribbean","latin america and the caribbean","caribbean"
"british virgin islands","latin america and the caribbean","latin america and the caribbean","caribbean"
"bonaire, sint eustatius and saba","latin america and the caribbean","latin america and the caribbean","caribbean"
"cayman islands","latin america and the caribbean","latin america and the caribbean","caribbean"
"cuba","latin america and the caribbean","latin america and the caribbean","caribbean"
"curaçao","latin america and the caribbean","latin america and the caribbean","caribbean"
"dominica","latin america and the caribbean","latin america and the caribbean","caribbean"
"dominican republic","latin america and the caribbean","latin america and the caribbean","caribbean"
"grenada","latin america and the caribbean","latin america and the caribbean","caribbean"
"guadeloupe","latin america and the caribbean","latin america and the caribbean","caribbean"
"haiti","latin america and the caribbean","latin america and the caribbean","caribbean"
"jamaica","latin america and the caribbean","latin america and the caribbean","caribbean"
"martinique","latin america and the caribbean","latin america and the caribbean","caribbean"
"montserrat","latin america and the caribbean","latin america and the caribbean","caribbean"
"puerto rico","latin america and the caribbean","latin america and the caribbean","caribbean"
"saint-barthélemy","latin america and the caribbean","latin america and the caribbean","caribbean"
"saint kitts and nevis","latin america and the caribbean","latin america and the caribbean","caribbean"
"saint lucia","latin america and the caribbean","latin america and the caribbean","caribbean"
"saint vincent and the grenadines","latin america and the caribbean","latin america and the caribbean","caribbean"
"sint maarten (dutch part)","latin america and the caribbean","latin america and the caribbean","caribbean"
"saint-martin (french part)","latin america and the caribbean","latin america and the caribbean","caribbean"
"trinidad and tobago","latin america and the caribbean","latin america and the caribbean","caribbean"
"turks and caicos islands","latin america and the caribbean","latin america and the caribbean","caribbean"
"united states virgin islands","latin america and the caribbean","latin america and the caribbean","caribbean"
"belize","latin america and the caribbean","latin america and the caribbean","central america"
"costa rica","latin america and the caribbean","latin america and the caribbean","central america"
"el salvador","latin america and the caribbean","latin america and the caribbean","central america"
"guatemala","latin america and the caribbean","latin america and the caribbean","central america"
"honduras","latin america and the caribbean","latin america and the caribbean","central america"
"mexico","latin america and the caribbean","latin america and the caribbean","central america"
"nicaragua","latin america and the caribbean","latin america and the caribbean","central america"
"panama","latin america and the caribbean","latin america and the caribbean","central america"
"argentina","latin america and the caribbean","latin america and the caribbean","south america"
"bolivia (plurinational state of)","latin america and the caribbean","latin america and the caribbean","south america"
"brazil","latin america and the caribbean","latin america and the caribbean","south america"
"chile","latin america and the caribbean","latin america and the caribbean","south america"
"colombia","latin america and the caribbean","latin america and the caribbean","south america"
"ecuador","latin america and the caribbean","latin america and the caribbean","south america"
"falkland islands (malvinas)","latin america and the caribbean","latin america and the caribbean","south america"
"french guiana","latin america and the caribbean","latin america and the caribbean","south america"
"guyana","latin america and the caribbean","latin america and the caribbean","south america"
"paraguay","latin america and the caribbean","latin america and the caribbean","south america"
"peru","latin america and the caribbean","latin america and the caribbean","south america"
"suriname","latin america and the caribbean","latin america and the caribbean","south america"
"uruguay","latin america and the caribbean","latin america and the caribbean","south america"
"venezuela (bolivarian republic of)","latin america and the caribbean","latin america and the caribbean","south america"
"australia","australia_new zealand","oceania","australia_new zealand"
"new zealand","australia_new zealand","oceania","australia_new zealand"
"fiji","oceania (excluding australia and new zealand)","oceania","melanesia"
"new caledonia","oceania (excluding australia and new zealand)","oceania","melanesia"
"papua new guinea","oceania (excluding australia and new zealand)","oceania","melanesia"
"solomon islands","oceania (excluding australia and new zealand)","oceania","melanesia"
"vanuatu","oceania (excluding australia and new zealand)","oceania","melanesia"
"guam","oceania (excluding australia and new zealand)","oceania","micronesia"
"kiribati","oceania (excluding australia and new zealand)","oceania","micronesia"
"marshall islands","oceania (excluding australia and new zealand)","oceania","micronesia"
"micronesia (fed states of)","oceania (excluding australia and new zealand)","oceania","micronesia"
"nauru","oceania (excluding australia and new zealand)","oceania","micronesia"
"northern mariana islands","oceania (excluding australia and new zealand)","oceania","micronesia"
"palau","oceania (excluding australia and new zealand)","oceania","micronesia"
"american samoa","oceania (excluding australia and new zealand)","oceania","polynesia"
"cook islands","oceania (excluding australia and new zealand)","oceania","polynesia"
"french polynesia","oceania (excluding australia and new zealand)","oceania","polynesia"
"niue","oceania (excluding australia and new zealand)","oceania","polynesia"
"samoa","oceania (excluding australia and new zealand)","oceania","polynesia"
"tokelau","oceania (excluding australia and new zealand)","oceania","polynesia"
"tonga","oceania (excluding australia and new zealand)","oceania","polynesia"
"tuvalu","oceania (excluding australia and new zealand)","oceania","polynesia"
"wallis and futuna islands","oceania (excluding australia and new zealand)","oceania","polynesia"
"belarus","europe and northern america","europe","eastern europe"
"bulgaria","europe and northern america","europe","eastern europe"
"czechia","europe and northern america","europe","eastern europe"
"hungary","europe and northern america","europe","eastern europe"
"poland","europe and northern america","europe","eastern europe"
"republic of moldova","europe and northern america","europe","eastern europe"
"romania","europe and northern america","europe","eastern europe"
"russian federation","europe and northern america","europe","eastern europe"
"slovakia","europe and northern america","europe","eastern europe"
"ukraine","europe and northern america","europe","eastern europe"
"channel islands","europe and northern america","europe","northern europe"
"denmark","europe and northern america","europe","northern europe"
"estonia","europe and northern america","europe","northern europe"
"faroe islands","europe and northern america","europe","northern europe"
"finland","europe and northern america","europe","northern europe"
"iceland","europe and northern america","europe","northern europe"
"ireland","europe and northern america","europe","northern europe"
"isle of man","europe and northern america","europe","northern europe"
"latvia","europe and northern america","europe","northern europe"
"lithuania","europe and northern america","europe","northern europe"
"norway","europe and northern america","europe","northern europe"
"sweden","europe and northern america","europe","northern europe"
"united kingdom","europe and northern america","europe","northern europe"
"albania","europe and northern america","europe","southern europe"
"andorra","europe and northern america","europe","southern europe"
"bosnia and herzegovina","europe and northern america","europe","southern europe"
"croatia","europe and northern america","europe","southern europe"
"gibraltar","europe and northern america","europe","southern europe"
"greece","europe and northern america","europe","southern europe"
"holy see","europe and northern america","europe","southern europe"
"italy","europe and northern america","europe","southern europe"
"malta","europe and northern america","europe","southern europe"
"montenegro","europe and northern america","europe","southern europe"
"north macedonia","europe and northern america","europe","southern europe"
"portugal","europe and northern america","europe","southern europe"
"san marino","europe and northern america","europe","southern europe"
"serbia","europe and northern america","europe","southern europe"
"slovenia","europe and northern america","europe","southern europe"
"spain","europe and northern america","europe","southern europe"
"austria","europe and northern america","europe","western europe"
"belgium","europe and northern america","europe","western europe"
"france","europe and northern america","europe","western europe"
"germany","europe and northern america","europe","western europe"
"liechtenstein","europe and northern america","europe","western europe"
"luxembourg","europe and northern america","europe","western europe"
"monaco","europe and northern america","europe","western europe"
"netherlands","europe and northern america","europe","western europe"
"switzerland","europe and northern america","europe","western europe"
"bermuda","europe and northern america","northern america","northern america"
"canada","europe and northern america","northern america","northern america"
"greenland","europe and northern america","northern america","northern america"
"saint pierre and miquelon","europe and northern america","northern america","northern america"
"united states of america","europe and northern america","northern america","northern america"
